Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
223557,27:18.1,IMU,189325073,0,0.002177421,-0.001163642,0.001879402,-4.673293,1.196911,-8.609131,0,0,34.29156,1,1,999,999
223656,27:18.2,IMU,189365057,0,0.001291552,-0.001043668,0.001989957,-4.674275,1.195367,-8.609292,0,0,34.29302,1,1,999,999
223711,27:18.2,IMU,189405041,0,0.001693596,-0.000389739,0.002030808,-4.677367,1.195095,-8.610761,0,0,34.29445,1,1,999,999
223811,27:18.3,IMU,189445025,0,0.002133213,0.002501706,0.002022205,-4.679007,1.194846,-8.613205,0,0,34.29588,1,1,999,999
223865,27:18.3,IMU,189485009,0,0.003923533,0.002382582,0.001849126,-4.680442,1.194247,-8.615695,0,0,34.29731,1,1,999,999
223917,27:18.3,IMU,189524993,0,0.003739698,0.002361288,0.001856309,-4.682325,1.194767,-8.61211,0,0,34.2987,1,1,999,999
224018,27:18.4,IMU,189564977,0,0.003552506,0.002471888,0.002006905,-4.683999,1.19428,-8.609145,0,0,34.30013,1,1,999,999
224073,27:18.4,IMU,189604961,0,0.003464443,0.002544773,0.002082595,-4.68701,1.195187,-8.607686,0,0,34.30155,1,1,999,999
224172,27:18.5,IMU,189644945,0,0.003382903,0.002477846,0.002123836,-4.687726,1.193038,-8.604796,0,0,34.30298,1,1,999,999
224223,27:18.5,IMU,189684929,0,0.003294004,0.001647559,0.002106758,-4.688179,1.192922,-8.603531,0,0,34.3044,1,1,999,999
224276,27:18.5,IMU,189724913,0,0.003236052,0.002300743,0.001975687,-4.692119,1.191386,-8.607329,0,0,34.30583,1,1,999,999
224375,27:18.6,IMU,189764897,0,0.004837123,0.000217395,0.001544816,-4.692575,1.192271,-8.608812,0,0,34.30725,1,1,999,999
224429,27:18.6,IMU,189804881,0,0.005887338,-0.000479407,0.001154951,-4.694366,1.19106,-8.61129,0,0,34.30868,1,1,999,999
224527,27:18.7,IMU,189844865,0,0.00666864,0.001007037,0.000799107,-4.696393,1.192371,-8.611819,0,0,34.3101,1,1,999,999
224579,27:18.7,IMU,189884849,0,0.006840986,0.001178614,0.000487286,-4.696531,1.191849,-8.612036,0,0,34.31153,1,1,999,999
224632,27:18.7,IMU,189924833,0,0.005617339,0.001354226,0.000292765,-4.697843,1.191737,-8.611991,0,0,34.31295,1,1,999,999
224731,27:18.8,IMU,189964817,0,0.006181733,0.00100521,0.000127055,-4.699548,1.19005,-8.606491,0,0,34.31438,1,1,999,999
224785,27:18.8,IMU,190004801,0,0.005152507,0.000862512,9.741777e-05,-4.701619,1.189431,-8.606419,0,0,34.3158,1,1,999,999
224886,27:18.9,IMU,190044785,0,0.004312359,0.001129206,0.000148004,-4.703619,1.189861,-8.611198,0,0,34.31723,1,1,1000,1000
224937,27:18.9,IMU,190084769,0,0.005888081,0.001336501,0.000303303,-4.703961,1.189519,-8.607897,0,0,34.31865,1,1,1000,1000
