Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
4383,25:15.9,IMU,67044838,0,0.000915393,0.000917921,0.000945874,-0.001182605,-0.000222079,-9.81918,0,0,28.90301,1,1,1000,1000
4436,25:15.9,IMU,67084822,0,0.000921976,0.00089016,0.000977058,-0.000225728,-0.000322425,-9.816875,0,0,28.90516,1,1,1000,1000
4489,25:15.9,IMU,67124806,0,0.000968254,0.000935141,0.001002396,-5.17e-05,-0.000854204,-9.818775,0,0,28.9073,1,1,1000,1000
4584,25:16.0,IMU,67164790,0,0.000866497,0.000916557,0.000832464,-0.000545989,-0.000956885,-9.817266,0,0,28.90945,1,1,1000,1000
4639,25:16.0,IMU,67204774,0,0.000870067,0.000999607,0.000880132,-0.000587055,-0.000520355,-9.816792,0,0,28.91159,1,1,1000,1000
4733,25:16.1,IMU,67244758,0,0.000881513,0.000979096,0.000913122,-0.000301357,-0.000948454,-9.817811,0,0,28.91374,1,1,1000,1000
4785,25:16.1,IMU,67284742,0,0.00097706,0.000908139,0.000946707,-0.000423702,-0.00094091,-9.817225,0,0,28.91588,1,1,1000,1000
4838,25:16.1,IMU,67324726,0,0.000968133,0.000951981,0.00090591,-0.00057151,-0.000227361,-9.816891,0,0,28.91803,1,1,1000,1000
4933,25:16.2,IMU,67364710,0,0.000973344,0.000989751,0.000904824,-0.000802691,-0.000780989,-9.817361,0,0,28.92017,1,1,1000,1000
4988,25:16.2,IMU,67404694,0,0.000975252,0.000963286,0.000970177,-0.001406818,2.698663e-05,-9.81708,0,0,28.92232,1,1,1000,1000
5084,25:16.3,IMU,67444678,0,0.00089938,0.000923718,0.000913586,-0.000907683,-9.47e-05,-9.816639,0,0,28.92446,1,1,1000,1000
5138,25:16.3,IMU,67484662,0,0.000909813,0.000873182,0.000900255,3.199348e-05,-0.000638509,-9.817449,0,0,28.9266,1,1,1000,1000
5191,25:16.3,IMU,67524646,0,0.000943727,0.001005754,0.000919167,-0.000870132,-0.00131929,-9.818079,0,0,28.92875,1,1,1000,1000
5288,25:16.4,IMU,67564630,0,0.000924006,0.000908317,0.000977035,-0.000488664,0.000472249,-9.816676,0,0,28.93089,1,1,1000,1000
5345,25:16.4,IMU,67604614,0,0.000972841,0.000923908,0.000867921,-0.000747104,-8.03e-05,-9.817454,0,0,28.93303,1,1,1000,1000
5440,25:16.5,IMU,67644598,0,0.000912861,0.000960401,0.001024723,-0.000481132,-0.001599703,-9.817478,0,0,28.93517,1,1,1000,1000
5492,25:16.5,IMU,67684582,0,0.000953698,0.000908405,0.000964934,-0.001064751,-0.00078881,-9.817801,0,0,28.93731,1,1,1000,1000
5544,25:16.5,IMU,67725399,0,0.000890024,0.00094035,0.000959675,-0.000928317,-0.000920936,-9.816586,0,0,28.93951,1,1,1000,1000
5640,25:16.6,IMU,67765383,0,0.000974247,0.000980121,0.000970717,-0.00047936,-0.001667006,-9.81832,0,0,28.94165,1,1,1000,1000
5695,25:16.6,IMU,67805367,0,0.000957515,0.000982849,0.000960056,-0.000623868,-0.001355318,-9.817069,0,0,28.94379,1,1,1000,1000
5789,25:16.7,IMU,67845351,0,0.001051162,0.000907873,0.000924051,-0.000943042,-0.000704094,-9.818467,0,0,28.94593,1,1,1000,1000
5842,25:16.7,IMU,67885335,0,0.00086767,0.000985901,0.000952646,-0.001802995,-0.002730226,-9.81766,0,0,28.94807,1,1,1000,1000
5895,25:16.7,IMU,67925319,0,0.000995729,0.000959184,0.001013839,-0.000544086,-0.000785247,-9.817001,0,0,28.95021,1,1,1000,1000
5989,25:16.8,IMU,67965303,0,0.000890836,0.000970093,0.00092301,-0.000419596,-0.000910974,-9.818528,0,0,28.95235,1,1,1000,1000
6045,25:16.8,IMU,68005287,0,0.000946679,0.000985441,0.000968527,-0.002045364,-0.001041088,-9.817471,0,0,28.95449,1,1,1000,1000
6141,25:16.9,IMU,68045271,0,0.000965039,0.00094224,0.000900574,-0.001800347,0.000458558,-9.818615,0,0,28.95663,1,1,1000,1000
6193,25:16.9,IMU,68085255,0,0.000930046,0.000884075,0.001099775,-0.001583359,-0.000837114,-9.817118,0,0,28.95877,1,1,1000,1000
6247,25:16.9,IMU,68125239,0,0.000973828,0.000961582,0.000977116,-0.001587666,-0.002005884,-9.817122,0,0,28.96091,1,1,1000,1000
6341,25:17.0,IMU,68165223,0,0.000996866,0.000993582,0.00098806,-0.001201982,-0.001526538,-9.818034,0,0,28.96299,1,1,1000,1000
6396,25:17.0,IMU,68205207,0,0.000913391,0.000886414,0.000947822,-0.00124207,-0.001451365,-9.818192,0,0,28.96513,1,1,1000,1000
6490,25:17.1,IMU,68245191,0,0.000943626,0.000989825,0.000944425,-0.002024777,-0.000970252,-9.816414,0,0,28.96727,1,1,1000,1000
6542,25:17.1,IMU,68285175,0,0.000933826,0.000905648,0.000948272,-0.001066882,-0.001102005,-9.817375,0,0,28.96941,1,1,1000,1000
6595,25:17.1,IMU,68325159,0,0.000935264,0.000999603,0.000954604,-0.001495496,9.13453e-05,-9.817055,0,0,28.97154,1,1,1000,1000
6691,25:17.2,IMU,68365143,0,0.000961868,0.000973032,0.000933344,-0.001656298,-0.001745376,-9.816757,0,0,28.97368,1,1,1000,1000
6746,25:17.2,IMU,68405127,0,0.000909387,0.000965184,0.000985447,-0.001244687,-0.000260314,-9.819212,0,0,28.97582,1,1,1000,1000
6841,25:17.3,IMU,68445111,0,0.00094225,0.000945994,0.000964285,-0.0006008,-0.001030006,-9.817255,0,0,28.97795,1,1,1000,1000
