Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
469245,29:35.1,IMU,326325251,0,0.005429639,-0.1287623,1.205381,-2.167173,0.1433603,-9.676354,0,0,38.21739,1,1,999,999
469345,29:35.2,IMU,326365235,0,0.005261894,-0.1292504,1.226004,-2.1164,0.2136247,-9.654102,0,0,38.21829,1,1,999,999
469399,29:35.2,IMU,326405219,0,0.00439269,-0.1289113,1.236674,-2.06022,0.2864376,-9.635494,0,0,38.21917,1,1,999,999
469499,29:35.3,IMU,326445203,0,0.003493667,-0.1250396,1.239862,-2.001363,0.3614133,-9.620002,0,0,38.22008,1,1,999,999
469553,29:35.3,IMU,326485187,0,0.000294205,-0.1201597,1.237141,-1.938571,0.4391099,-9.606728,0,0,38.22098,1,1,999,999
469605,29:35.3,IMU,326525171,0,-0.004328995,-0.1144845,1.230006,-1.871114,0.5186877,-9.595079,0,0,38.22189,1,1,999,999
469706,29:35.4,IMU,326565155,0,-0.008284057,-0.1078034,1.219498,-1.803099,0.5963399,-9.586457,0,0,38.22279,1,1,999,999
469760,29:35.4,IMU,326605139,0,-0.01294036,-0.1016131,1.206852,-1.732893,0.6753011,-9.577529,0,0,38.22369,1,1,999,999
469859,29:35.5,IMU,326645123,0,-0.01798551,-0.09336157,1.192761,-1.661335,0.7518951,-9.572884,0,0,38.2246,1,1,999,999
469911,29:35.5,IMU,326685107,0,-0.02409036,-0.08406803,1.177946,-1.588763,0.8273527,-9.569276,0,0,38.2255,1,1,999,999
469963,29:35.5,IMU,326725091,0,-0.02885601,-0.07370498,1.162803,-1.51737,0.9017645,-9.567699,0,0,38.2264,1,1,999,999
470062,29:35.6,IMU,326765075,0,-0.03650674,-0.0649469,1.147775,-1.442815,0.9741093,-9.561003,0,0,38.22731,1,1,999,999
470116,29:35.6,IMU,326805059,0,-0.0396207,-0.05779748,1.133059,-1.370811,1.043825,-9.564906,0,0,38.22823,1,1,999,999
470215,29:35.7,IMU,326845043,0,-0.04733597,-0.04802382,1.119151,-1.297839,1.111101,-9.563574,0,0,38.22913,1,1,999,999
470266,29:35.7,IMU,326885027,0,-0.05331724,-0.03943146,1.10606,-1.225253,1.174291,-9.566906,0,0,38.23004,1,1,999,999
470318,29:35.7,IMU,326925011,0,-0.05938489,-0.03010317,1.094198,-1.154814,1.237194,-9.564901,0,0,38.23094,1,1,999,999
470417,29:35.8,IMU,326964995,0,-0.06389509,-0.02420759,1.083574,-1.083984,1.296715,-9.569805,0,0,38.23182,1,1,999,999
470471,29:35.8,IMU,327004979,0,-0.06548683,-0.01870179,1.07441,-1.012535,1.353015,-9.566967,0,0,38.23272,1,1,999,999
470572,29:35.9,IMU,327044963,0,-0.07156575,-0.01107453,1.066712,-0.9441615,1.407906,-9.574295,0,0,38.23362,1,1,999,999
470623,29:35.9,IMU,327084947,0,-0.07337707,-0.005029124,1.06039,-0.8755378,1.457596,-9.574119,0,0,38.23453,1,1,999,999
470675,29:35.9,IMU,327124931,0,-0.07457683,0.002654356,1.055492,-0.8078378,1.506771,-9.570892,0,0,38.23543,1,1,999,999
470774,29:36.0,IMU,327164915,0,-0.07898591,0.006785368,1.051783,-0.7410372,1.550854,-9.572166,0,0,38.23633,1,1,999,999
470829,29:36.0,IMU,327204899,0,-0.07839911,0.01132716,1.049,-0.6757119,1.594788,-9.580256,0,0,38.23723,1,1,999,999
470928,29:36.1,IMU,327244883,0,-0.07765457,0.01464894,1.047215,-0.6094385,1.633573,-9.569777,0,0,38.23814,1,1,999,999
470979,29:36.1,IMU,327284867,0,-0.08108902,0.01801982,1.04621,-0.5462039,1.671647,-9.574717,0,0,38.23904,1,1,999,999
471032,29:36.1,IMU,327324851,0,-0.07825571,0.02202783,1.045887,-0.4830443,1.703918,-9.576186,0,0,38.23994,1,1,999,999
471132,29:36.2,IMU,327364835,0,-0.07732538,0.0229073,1.046075,-0.4220982,1.735509,-9.574215,0,0,38.24084,1,1,999,999
471186,29:36.2,IMU,327404819,0,-0.07461997,0.02451972,1.046439,-0.3607017,1.762717,-9.581113,0,0,38.24174,1,1,999,999
471286,29:36.3,IMU,327444803,0,-0.06814259,0.0261262,1.047198,-0.3017204,1.786544,-9.583039,0,0,38.24264,1,1,999,999
471340,29:36.3,IMU,327484787,0,-0.06782864,0.0247446,1.048036,-0.2439227,1.806764,-9.579111,0,0,38.24354,1,1,999,999
471392,29:36.3,IMU,327524771,0,-0.06319349,0.02206307,1.049263,-0.1894591,1.82323,-9.590556,0,0,38.24444,1,1,999,999
471493,29:36.4,IMU,327564755,0,-0.05677525,0.01959394,1.050388,-0.1354662,1.835805,-9.590336,0,0,38.24534,1,1,999,999
471547,29:36.4,IMU,327604739,0,-0.04811789,0.01827708,1.051431,-0.08135095,1.846151,-9.595603,0,0,38.24624,1,1,999,999
471645,29:36.5,IMU,327644723,0,-0.04126303,0.01280935,1.052487,-0.03055443,1.848796,-9.601125,0,0,38.24714,1,1,999,999
471696,29:36.5,IMU,327684707,0,-0.0366779,0.00520621,1.053597,0.01774479,1.849758,-9.605293,0,0,38.24804,1,1,999,999
471749,29:36.5,IMU,327724691,0,-0.03415639,-0.001119695,1.054619,0.06844362,1.846554,-9.620076,0,0,38.24894,1,1,999,999
471848,29:36.6,IMU,327764675,0,-0.02937254,-0.007817016,1.055678,0.1232452,1.839375,-9.628893,0,0,38.24984,1,1,999,999
471902,29:36.6,IMU,327804659,0,-0.02706808,-0.01243609,1.056853,0.1808885,1.827416,-9.634552,0,0,38.25074,1,1,999,999
472001,29:36.7,IMU,327844643,0,-0.0241796,-0.01585937,1.057696,0.2403665,1.810298,-9.635941,0,0,38.25164,1,1,999,999
472052,29:36.7,IMU,327884627,0,-0.02149223,-0.01749493,1.058392,0.3016692,1.788946,-9.639631,0,0,38.25254,1,1,999,999
472104,29:36.7,IMU,327924611,0,-0.01691702,-0.0177317,1.058872,0.3683624,1.762968,-9.65287,0,0,38.25344,1,1,999,999
472205,29:36.8,IMU,327964595,0,-0.01171737,-0.01886675,1.059305,0.4328818,1.736132,-9.661465,0,0,38.25434,1,1,999,999
472259,29:36.8,IMU,328004579,0,-0.005828858,-0.01679884,1.059728,0.5028229,1.7017,-9.662631,0,0,38.25524,1,1,999,999
472360,29:36.9,IMU,328045396,0,-0.001964473,-0.009489656,1.060169,0.5732108,1.662947,-9.664183,0,0,38.25616,1,1,999,999
472411,29:36.9,IMU,328085380,0,0.003843287,-0.003634763,1.060133,0.6460177,1.622852,-9.670707,0,0,38.25706,1,1,999,999
472463,29:36.9,IMU,328125364,0,0.01056862,0.001986377,1.060127,0.7180595,1.576644,-9.669534,0,0,38.25796,1,1,1000,1000
