Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
160186,26:42.8,GPS,153985048,0,6,156420800,2401,10,1.21,-35.3622981,149.1658908,634.09,5.462,122.6462,-0.001,0,1
160544,26:43.0,GPS,154184968,0,6,156421000,2401,10,1.21,-35.3623034,149.1659009,634.09,5.473,122.9041,0.0,0,1
160899,26:43.2,GPS,154384888,0,6,156421200,2401,10,1.21,-35.3623089,149.165911,634.09,5.471,123.4644,0.001,0,1
161261,26:43.4,GPS,154584808,0,6,156421400,2401,10,1.21,-35.3623143,149.165921,634.09,5.456,124.347,0.002,0,1
161617,26:43.6,GPS,154784728,0,6,156421600,2401,10,1.21,-35.3623199,149.1659308,634.09,5.429,125.5347,0.001,0,1
161974,26:43.8,GPS,154984648,0,6,156421800,2401,10,1.21,-35.3623257,149.1659404,634.09,5.39,127.0142,0.001,0,1
162305,26:44.0,GPS,155165409,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
162333,26:44.0,GPS,155185401,0,6,156422000,2401,10,1.21,-35.3623316,149.1659498,634.09,5.344,128.7901,0.0,0,1
162689,26:44.2,GPS,155385321,0,6,156422200,2401,10,1.21,-35.3623377,149.1659588,634.09,5.291,130.8695,0.0,0,1
163052,26:44.4,GPS,155585241,0,6,156422400,2401,10,1.21,-35.3623441,149.1659674,634.09,5.235,133.2633,0.0,0,1
163407,26:44.6,GPS,155785161,0,6,156422600,2401,10,1.21,-35.3623506,149.1659756,634.09,5.181,135.9885,0.0,0,1
163764,26:44.8,GPS,155985081,0,6,156422800,2401,10,1.21,-35.3623575,149.1659833,634.09,5.135,139.0593,0.0,0,1
164125,26:45.0,GPS,156185001,0,6,156423000,2401,10,1.21,-35.3623646,149.1659904,634.09,5.097,142.4498,-0.001,0,1
164480,26:45.2,GPS,156384921,0,6,156423200,2401,10,1.21,-35.3623719,149.1659969,634.09,5.058,146.0338,-0.004,0,1
164842,26:45.4,GPS,156584841,0,6,156423400,2401,10,1.21,-35.3623796,149.1660028,634.09,5.016,149.5807,-0.007,0,1
165198,26:45.6,GPS,156784761,0,6,156423600,2401,10,1.21,-35.3623874,149.1660081,634.09,4.98,152.8472,-0.009000001,0,1
165555,26:45.8,GPS,156984681,0,6,156423800,2401,10,1.21,-35.3623955,149.1660129,634.09,4.953,155.6839,-0.009000001,0,1
165912,26:46.0,GPS,157184601,0,6,156424000,2401,10,1.21,-35.3624037,149.1660171,634.1,4.934,158.0762,-0.008,0,1
166270,26:46.2,GPS,157385354,0,6,156424200,2401,10,1.21,-35.362412,149.166021,634.1,4.919,160.0776,-0.006,0,1
166633,26:46.4,GPS,157585274,0,6,156424400,2401,10,1.21,-35.3624203,149.1660246,634.1,4.908,161.7322,-0.004,0,1
166988,26:46.6,GPS,157785194,0,6,156424600,2401,10,1.21,-35.3624287,149.1660278,634.1,4.899,163.0805,-0.002,0,1
167345,26:46.8,GPS,157985114,0,6,156424800,2401,10,1.21,-35.3624372,149.1660308,634.1,4.893,164.1554,-0.001,0,1
167703,26:47.0,GPS,158185034,0,6,156425000,2401,10,1.21,-35.3624456,149.1660336,634.1,4.89,164.9794,0.0,0,1
168057,26:47.2,GPS,158384954,0,6,156425200,2401,10,1.21,-35.3624541,149.1660364,634.1,4.889,165.5693,0.0,0,1
168420,26:47.4,GPS,158584874,0,6,156425400,2401,10,1.21,-35.3624626,149.166039,634.1,4.889,165.9401,-0.001,0,1
168776,26:47.6,GPS,158784794,0,6,156425600,2401,10,1.21,-35.3624712,149.1660417,634.1,4.891,166.1343,-0.002,0,1
169133,26:47.8,GPS,158984714,0,6,156425800,2401,10,1.21,-35.3624797,149.1660443,634.1,4.893,166.2462,-0.002,0,1
169490,26:48.0,GPS,159184634,0,6,156426000,2401,10,1.21,-35.3624882,149.1660468,634.1,4.894,166.3615,-0.002,0,1
169492,26:48.0,GPS,159184634,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
169846,26:48.2,GPS,159385387,0,6,156426200,2401,10,1.21,-35.3624968,149.1660493,634.1,4.896,166.5,-0.002,0,1
170210,26:48.4,GPS,159585307,0,6,156426400,2401,10,1.21,-35.3625053,149.1660518,634.1,4.897,166.6464,-0.002,0,1
170565,26:48.6,GPS,159785227,0,6,156426600,2401,10,1.21,-35.3625139,149.1660543,634.11,4.899,166.7928,-0.002,0,1
170922,26:48.8,GPS,159985147,0,6,156426800,2401,10,1.21,-35.3625225,149.1660567,634.11,4.901,166.9401,-0.002,0,1
171280,26:49.0,GPS,160185067,0,6,156427000,2401,10,1.21,-35.3625311,149.1660592,634.11,4.902,167.0828,-0.001,0,1
171634,26:49.2,GPS,160384987,0,6,156427200,2401,10,1.21,-35.3625397,149.1660615,634.11,4.903,167.2157,0.0,0,1
171997,26:49.4,GPS,160584907,0,6,156427400,2401,10,1.21,-35.3625483,149.166064,634.11,4.904,167.3452,0.0,0,1
172353,26:49.6,GPS,160784827,0,6,156427600,2401,10,1.21,-35.3625569,149.1660663,634.11,4.904,167.4882,0.0,0,1
172710,26:49.8,GPS,160984747,0,6,156427800,2401,10,1.21,-35.3625655,149.1660686,634.11,4.904,167.6563,0.0,0,1
173067,26:50.0,GPS,161184667,0,6,156428000,2401,10,1.21,-35.362574,149.166071,634.11,4.903,167.8513,0.0,0,1
173422,26:50.2,GPS,161384587,0,6,156428200,2401,10,1.21,-35.3625827,149.1660732,634.11,4.902,168.0765,0.0,0,1
173784,26:50.4,GPS,161585340,0,6,156428400,2401,10,1.21,-35.3625913,149.1660754,634.11,4.899,168.3392,0.0,0,1
174140,26:50.6,GPS,161785260,0,6,156428600,2401,10,1.21,-35.3626,149.1660776,634.11,4.896,168.6468,0.0,0,1
174497,26:50.8,GPS,161985180,0,6,156428800,2401,10,1.21,-35.3626086,149.1660796,634.11,4.893,169.0023,0.0,0,1
174855,26:51.0,GPS,162185100,0,6,156429000,2401,10,1.21,-35.3626171,149.1660817,634.11,4.889,169.4083,0.001,0,1
175211,26:51.2,GPS,162385020,0,6,156429200,2401,10,1.21,-35.3626258,149.1660836,634.11,4.884,169.8739,0.001,0,1
175574,26:51.4,GPS,162584940,0,6,156429400,2401,10,1.21,-35.3626345,149.1660855,634.11,4.878,170.4032,0.001,0,1
175931,26:51.6,GPS,162784860,0,6,156429600,2401,10,1.21,-35.3626431,149.1660872,634.11,4.871,170.9878,0.001,0,1
176290,26:51.8,GPS,162984780,0,6,156429800,2401,10,1.21,-35.3626517,149.1660888,634.11,4.863,171.6151,0.001,0,1
176648,26:52.0,GPS,163184700,0,6,156430000,2401,10,1.21,-35.3626604,149.1660903,634.1,4.857,172.2601,0.001,0,1
176676,26:52.0,GPS,163204692,1,1,0,0,0,-0.01,0.0,0.0,0.0,0.0,0.0,0.0,0,0
177005,26:52.2,GPS,163384620,0,6,156430200,2401,10,1.21,-35.3626691,149.1660917,634.1,4.85,172.8923,0.001,0,1
177367,26:52.4,GPS,163585373,0,6,156430400,2401,10,1.21,-35.3626777,149.166093,634.1,4.844,173.4874,0.001,0,1
177723,26:52.6,GPS,163785293,0,6,156430600,2401,10,1.21,-35.3626864,149.1660941,634.1,4.838,174.0413,0.001,0,1
178079,26:52.8,GPS,163985213,0,6,156430800,2401,10,1.21,-35.362695,149.1660952,634.1,4.832,174.5641,0.0,0,1
178438,26:53.0,GPS,164185133,0,6,156431000,2401,10,1.21,-35.3627037,149.1660961,634.1,4.827,175.0514,0.0,0,1
178792,26:53.2,GPS,164385053,0,6,156431200,2401,10,1.21,-35.3627123,149.166097,634.1,4.823,175.492,0.0,0,1
179154,26:53.4,GPS,164584973,0,6,156431400,2401,10,1.21,-35.3627209,149.1660978,634.1,4.82,175.8801,0.0,0,1
179511,26:53.6,GPS,164784893,0,6,156431600,2401,10,1.21,-35.3627295,149.1660985,634.1,4.817,176.2168,0.0,0,1
179867,26:53.8,GPS,164984813,0,6,156431800,2401,10,1.21,-35.3627382,149.1660992,634.1,4.816,176.5084,0.0,0,1
180225,26:54.0,GPS,165184733,0,6,156432000,2401,10,1.21,-35.3627469,149.1660999,634.1,4.814,176.7577,0.0,0,1
180619,26:54.2,GPS,165384653,0,6,156432200,2401,10,1.21,-35.3627555,149.1661004,634.1,4.813,176.9665,0.0,0,1
180981,26:54.4,GPS,165585406,0,6,156432400,2401,10,1.21,-35.3627641,149.1661009,634.1,4.812,177.1406,0.0,0,1
181337,26:54.6,GPS,165785326,0,6,156432600,2401,10,1.21,-35.3627728,149.1661015,634.1,4.811,177.2753,0.0,0,1
181693,26:54.8,GPS,165985246,0,6,156432800,2401,10,1.21,-35.3627813,149.166102,634.1,4.811,177.3579,0.0,0,1
182052,26:55.0,GPS,166185166,0,6,156433000,2401,10,1.21,-35.36279,149.1661025,634.1,4.811,177.3933,0.0,0,1
182407,26:55.2,GPS,166385086,0,6,156433200,2401,10,1.21,-35.3627987,149.1661029,634.1,4.811,177.3941,0.0,0,1
