Timestamp,SrcPort,DstPort,Length,MsgID,Protocol,Label
1768240763070656,57568,14550,48.0,163,0,0
1768240763071604,57568,14550,44.0,178,0,0
1768240763072158,57568,14550,48.0,30,0,0
1768240763073781,57568,14550,48.0,33,0,0
1768240763074295,57568,14550,39.0,74,0,0
1768240763076711,57568,14550,51.0,1,0,0
1768240763079060,57568,14550,22.0,125,0,0
1768240763079859,57568,14550,27.0,152,0,0
1768240763080427,57568,14550,45.0,62,0,0
1768240763082412,57568,14550,26.0,42,0,0
1768240763083352,57568,14550,32.0,36,0,0
1768240763083805,57568,14550,62.0,65,0,0
1768240763084263,57568,14550,49.0,27,0,0
1768240763084697,57568,14550,44.0,116,0,0
1768240763085278,57568,14550,42.0,129,0,0
1768240763085961,57568,14550,34.0,29,0,0
1768240763086611,57568,14550,34.0,137,0,0
1768240763087240,57568,14550,60.0,24,0,0
1768240763087875,57568,14550,53.0,124,0,0
1768240763088715,57568,14550,31.0,2,0,0
1768240763089372,57568,14550,64.0,164,0,0
1768240763089949,57568,14550,24.0,168,0,0
1768240763090451,57568,14550,42.0,136,0,0
1768240763090895,57568,14550,42.0,193,0,0
1768240763091437,57568,14550,48.0,32,0,0
1768240763091877,57568,14550,40.0,241,0,0
1768240763092311,57568,14550,70.0,87,0,0
1768240763092851,57568,14550,61.0,147,0,0
1768240763093389,57568,14550,64.0,11030,0,0
1768240763101749,5760,61016,,0,1,0
1768240763102159,57568,14550,29.0,0,0,0
1768240763320110,61016,5760,,0,1,0
1768240763324362,57568,14550,47.0,264,0,0
1768240763325206,57568,14550,48.0,163,0,0
1768240763325713,57568,14550,44.0,178,0,0
1768240763326187,57568,14550,48.0,30,0,0
1768240763327154,57568,14550,48.0,33,0,0
1768240763327687,57568,14550,39.0,74,0,0
1768240763329212,57568,14550,51.0,1,0,0
1768240763331450,57568,14550,22.0,125,0,0
1768240763332192,57568,14550,27.0,152,0,0
1768240763332883,57568,14550,45.0,62,0,0
1768240763333724,57568,14550,26.0,42,0,0
1768240763334522,57568,14550,32.0,36,0,0
1768240763334997,57568,14550,62.0,65,0,0
1768240763335482,57568,14550,49.0,27,0,0
1768240763335960,57568,14550,44.0,116,0,0
1768240763336425,57568,14550,42.0,129,0,0
1768240763336934,57568,14550,34.0,29,0,0
1768240763337333,57568,14550,34.0,137,0,0
1768240763337648,57568,14550,60.0,24,0,0
1768240763338394,57568,14550,53.0,124,0,0
1768240763339148,57568,14550,31.0,2,0,0
1768240763339566,57568,14550,64.0,164,0,0
1768240763340118,57568,14550,24.0,168,0,0
1768240763340583,57568,14550,42.0,136,0,0
1768240763341106,57568,14550,42.0,193,0,0
1768240763341679,57568,14550,48.0,32,0,0
1768240763342021,57568,14550,40.0,241,0,0
1768240763342676,57568,14550,70.0,87,0,0
1768240763343053,57568,14550,61.0,147,0,0
1768240763343491,57568,14550,64.0,11030,0,0
1768240763574323,57568,14550,48.0,163,0,0
1768240763576695,57568,14550,44.0,178,0,0
1768240763580216,57568,14550,48.0,30,0,0
1768240763583641,57568,14550,48.0,33,0,0
1768240763586811,57568,14550,39.0,74,0,0
1768240763592876,57568,14550,51.0,1,0,0
1768240763596833,57568,14550,22.0,125,0,0
1768240763598300,57568,14550,27.0,152,0,0
1768240763599183,57568,14550,45.0,62,0,0
1768240763600579,57568,14550,26.0,42,0,0
1768240763601306,57568,14550,32.0,36,0,0
1768240763601766,57568,14550,62.0,65,0,0
1768240763602035,57568,14550,49.0,27,0,0
1768240763602616,57568,14550,44.0,116,0,0
