,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
18610,25:23.8,GPS,74984994,0,6,156341800,2401,10,1.21,-35.3632621,149.1652374,584.44,0.036,343.7276,-1.135,0,1
18973,25:24.0,GPS,75184914,0,6,156342000,2401,10,1.21,-35.363262,149.1652374,584.68,0.068,340.7091,-1.194,0,1
19332,25:24.2,GPS,75384834,0,6,156342200,2401,10,1.21,-35.3632618,149.1652373,584.92,0.087,338.1058,-1.23,0,1
19697,25:24.4,GPS,75584754,0,6,156342400,2401,10,1.21,-35.3632616,149.1652372,585.18,0.093,337.2853,-1.401,0,1
20058,25:24.6,GPS,75784674,0,6,156342600,2401,10,1.21,-35.3632615,149.1652371,585.48,0.09,337.986,-1.6,0,1
20418,25:24.8,GPS,75984594,0,6,156342800,2401,10,1.21,-35.3632614,149.165237,585.82,0.08000001,339.8233,-1.8,0,1
20780,25:25.0,GPS,76185347,0,6,156343000,2401,10,1.21,-35.3632612,149.165237,586.2,0.067,343.012,-2.008,0,1
21142,25:25.2,GPS,76385267,0,6,156343200,2401,10,1.21,-35.3632611,149.165237,586.62,0.054,348.0425,-2.216,0,1
21511,25:25.4,GPS,76585187,0,6,156343400,2401,10,1.21,-35.363261,149.165237,587.08,0.043,354.5471,-2.388,0,1
21873,25:25.6,GPS,76785107,0,6,156343600,2401,10,1.21,-35.363261,149.165237,587.57,0.035,0.53872,-2.487,0,1
22231,25:25.8,GPS,76985027,0,6,156343800,2401,10,1.21,-35.3632609,149.165237,588.07,0.029,5.46589,-2.511,0,1
22592,25:26.0,GPS,77184947,0,6,156344000,2401,10,1.21,-35.3632609,149.165237,588.57,0.026,11.0706,-2.466,0,1
22952,25:26.2,GPS,77384867,0,6,156344200,2401,10,1.21,-35.3632609,149.165237,589.06,0.024,19.13414,-2.37,0,1
23318,25:26.4,GPS,77584787,0,6,156344400,2401,10,1.21,-35.3632608,149.165237,589.52,0.024,30.79791,-2.249,0,1
23679,25:26.6,GPS,77784707,0,6,156344600,2401,10,1.21,-35.3632608,149.165237,589.95,0.024,45.07155,-2.119,0,1
24037,25:26.8,GPS,77984627,0,6,156344800,2401,10,1.21,-35.3632608,149.165237,590.37,0.026,59.46879,-1.991,0,1
24397,25:27.0,GPS,78185380,0,6,156345000,2401,10,1.21,-35.3632607,149.165237,590.75,0.028,72.51351,-1.869,0,1
24753,25:27.2,GPS,78385300,0,6,156345200,2401,10,1.21,-35.3632607,149.1652371,591.11,0.031,84.07255,-1.754,0,1
25113,25:27.4,GPS,78585220,0,6,156345400,2401,10,1.21,-35.3632607,149.1652372,591.45,0.034,94.86806,-1.645,0,1
25471,25:27.6,GPS,78785140,0,6,156345600,2401,10,1.21,-35.3632607,149.1652373,591.77,0.036,104.8978,-1.541,0,1
25499,25:27.6,GPS,78805132,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
25827,25:27.8,GPS,78985060,0,6,156345800,2401,10,1.21,-35.3632608,149.1652373,592.07,0.038,114.7283,-1.439,0,1
26184,25:28.0,GPS,79184980,0,6,156346000,2401,10,1.21,-35.3632608,149.1652374,592.35,0.038,124.6398,-1.338,0,1
26539,25:28.2,GPS,79384900,0,6,156346200,2401,10,1.21,-35.3632608,149.1652375,592.61,0.038,134.2252,-1.237,0,1
26899,25:28.4,GPS,79584820,0,6,156346400,2401,10,1.21,-35.3632608,149.1652375,592.84,0.037,143.0406,-1.135,0,1
27258,25:28.6,GPS,79784740,0,6,156346600,2401,10,1.21,-35.3632608,149.1652375,593.06,0.036,151.1433,-1.031,0,1
27613,25:28.8,GPS,79984660,0,6,156346800,2401,10,1.21,-35.3632609,149.1652376,593.26,0.036,159.3174,-0.9250001,0,1
27970,25:29.0,GPS,80184580,0,6,156347000,2401,10,1.21,-35.363261,149.1652377,593.43,0.035,167.3908,-0.818,0,1
28325,25:29.2,GPS,80385333,0,6,156347200,2401,10,1.21,-35.363261,149.1652377,593.58,0.035,174.2197,-0.707,0,1
28685,25:29.4,GPS,80585253,0,6,156347400,2401,10,1.21,-35.363261,149.1652377,593.72,0.034,179.6542,-0.5930001,0,1
29043,25:29.6,GPS,80785173,0,6,156347600,2401,10,1.21,-35.3632611,149.1652377,593.82,0.034,184.5065,-0.474,0,1
29397,25:29.8,GPS,80985093,0,6,156347800,2401,10,1.21,-35.3632612,149.1652377,593.9,0.033,189.4482,-0.346,0,1
29754,25:30.0,GPS,81185013,0,6,156348000,2401,10,1.21,-35.3632613,149.1652377,593.95,0.032,194.3026,-0.209,0,1
30111,25:30.2,GPS,81384933,0,6,156348200,2401,10,1.21,-35.3632613,149.1652377,593.99,0.032,198.2307,-0.086,0,1
30471,25:30.4,GPS,81584853,0,6,156348400,2401,10,1.21,-35.3632614,149.1652377,594,0.034,200.6867,0,0,1
30830,25:30.6,GPS,81784773,0,6,156348600,2401,10,1.21,-35.3632614,149.1652377,593.99,0.037,201.8063,0.044,0,1
31184,25:30.8,GPS,81984693,0,6,156348800,2401,10,1.21,-35.3632615,149.1652376,593.98,0.04,202.3639,0.053,0,1
31540,25:31.0,GPS,82184613,0,6,156349000,2401,10,1.21,-35.3632616,149.1652375,593.97,0.041,203.0023,0.041,0,1
31896,25:31.2,GPS,82385366,0,6,156349200,2401,10,1.21,-35.3632616,149.1652375,593.97,0.041,204.1404,0.022,0,1
