,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3328,25:15.3,IMU,66445078,1,0.001016438,0.001030814,0.000799738,-0.001901997,-0.001347913,-9.815113,0,0,28.87078,1,1,760,800
3380,25:15.3,IMU,66485062,0,0.000933598,0.000905182,0.000893694,-0.001897303,-0.000886485,-9.817626,0,0,28.87299,1,1,1000,1000
3381,25:15.3,IMU,66485062,1,0.00085157,0.00073062,0.000799758,-0.001832595,-0.002482201,-9.816237,0,0,28.87299,1,1,760,800
3433,25:15.3,IMU,66525046,0,0.000928858,0.000874157,0.000939286,-0.001218908,-0.001526948,-9.817975,0,0,28.87514,1,1,1000,1000
3434,25:15.3,IMU,66525046,1,0.00095953,0.000981643,0.000943996,-0.001771435,0.000778321,-9.817906,0,0,28.87514,1,1,760,800
3530,25:15.4,IMU,66565030,0,0.000968535,0.000983069,0.000924876,-0.000401201,-0.00086539,-9.8173,0,0,28.87729,1,1,1000,1000
3531,25:15.4,IMU,66565030,1,0.000936657,0.000569621,0.000852024,0.000658428,-0.001693112,-9.819484,0,0,28.87729,1,1,760,800
3587,25:15.4,IMU,66605014,0,0.000960686,0.00088944,0.000900321,-0.00103683,-0.000988251,-9.817203,0,0,28.87944,1,1,1000,1000
3588,25:15.4,IMU,66605014,1,0.000885491,0.000821637,0.000897144,-0.002355246,-1.53E-05,-9.816877,0,0,28.87944,1,1,760,800
3681,25:15.5,IMU,66644998,0,0.001002696,0.000973621,0.000961893,-0.000846708,-0.0007185,-9.818369,0,0,28.88153,1,1,1000,1000
3682,25:15.5,IMU,66644998,1,0.001101366,0.001277267,0.001062787,-0.00130732,-0.001125615,-9.817959,0,0,28.88153,1,1,760,800
3732,25:15.5,IMU,66684982,0,0.000964063,0.000996804,0.00091126,-0.001223831,-0.001027661,-9.817644,0,0,28.88368,1,1,1000,1000
3733,25:15.5,IMU,66684982,1,0.000820039,0.000899729,0.000911324,-0.001576444,-0.000808652,-9.818026,0,0,28.88368,1,1,760,800
3785,25:15.5,IMU,66724966,0,0.000840045,0.000940916,0.000956068,-0.001382723,-0.001020489,-9.81848,0,0,28.88583,1,1,1000,1000
3786,25:15.5,IMU,66724966,1,0.001144531,0.000879913,0.000909504,-0.001427034,-0.001210399,-9.818791,0,0,28.88583,1,1,760,800
3883,25:15.6,IMU,66764950,0,0.000909549,0.00091253,0.00099718,-0.002051013,-0.001649236,-9.817276,0,0,28.88798,1,1,1000,1000
3884,25:15.6,IMU,66764950,1,0.001142056,0.000655557,0.00095668,-0.000777399,0.000570588,-9.819284,0,0,28.88798,1,1,760,800
3938,25:15.6,IMU,66804934,0,0.000907076,0.000989208,0.000886212,-0.000808999,-0.000636414,-9.81708,0,0,28.89013,1,1,1000,1000
3939,25:15.6,IMU,66804934,1,0.000793807,0.001058744,0.000843732,-0.002624937,0.000161204,-9.817481,0,0,28.89013,1,1,760,800
4033,25:15.7,IMU,66844918,0,0.00092348,0.000937494,0.000964716,-0.000475855,-0.001521689,-9.816664,0,0,28.89227,1,1,1000,1000
4034,25:15.7,IMU,66844918,1,0.001046003,0.000911307,0.000792449,-0.001394382,-0.004002519,-9.81789,0,0,28.89227,1,1,760,800
4085,25:15.7,IMU,66884902,0,0.000955574,0.000909599,0.000900814,-0.000482407,-0.000423519,-9.816527,0,0,28.89442,1,1,1000,1000
4086,25:15.7,IMU,66884902,1,0.000939917,0.000891895,0.000677817,-0.002392107,-0.001822978,-9.816867,0,0,28.89442,1,1,760,800
4138,25:15.7,IMU,66924886,0,0.00100846,0.001011667,0.000980552,-0.000129063,-0.001359074,-9.81664,0,0,28.89657,1,1,1000,1000
4139,25:15.7,IMU,66924886,1,0.000826531,0.000820226,0.001151783,-0.000538537,-0.001022949,-9.81735,0,0,28.89657,1,1,760,800
4233,25:15.8,IMU,66964870,0,0.000946222,0.001004212,0.000929572,-0.000731153,-0.000691444,-9.816357,0,0,28.89872,1,1,1000,1000
4234,25:15.8,IMU,66964870,1,0.001066302,0.000812254,0.000824122,-0.001818585,-0.002603948,-9.818009,0,0,28.89872,1,1,760,800
4288,25:15.8,IMU,67004854,0,0.000979883,0.000950093,0.001035983,-0.000916744,-0.000989612,-9.817087,0,0,28.90086,1,1,1000,1000
4289,25:15.8,IMU,67004854,1,0.00116887,0.000773848,0.001021179,0.001006297,-0.0019942,-9.816645,0,0,28.90086,1,1,760,800
4383,25:15.9,IMU,67044838,0,0.000915393,0.000917921,0.000945874,-0.001182605,-0.000222079,-9.81918,0,0,28.90301,1,1,1000,1000
4384,25:15.9,IMU,67044838,1,0.000951506,0.000940398,0.000842611,-0.000187387,0.000670428,-9.814248,0,0,28.90301,1,1,760,800
4436,25:15.9,IMU,67084822,0,0.000921976,0.00089016,0.000977058,-0.000225728,-0.000322425,-9.816875,0,0,28.90516,1,1,1000,1000
4437,25:15.9,IMU,67084822,1,0.00101118,0.000871587,0.000984695,-0.001127687,0.000633187,-9.815823,0,0,28.90516,1,1,760,800
4489,25:15.9,IMU,67124806,0,0.000968254,0.000935141,0.001002396,-5.17E-05,-0.000854204,-9.818775,0,0,28.9073,1,1,1000,1000
4490,25:15.9,IMU,67124806,1,0.000858633,0.000665927,0.000837248,-0.001310992,-0.002069658,-9.817595,0,0,28.9073,1,1,760,800
4584,25:16.0,IMU,67164790,0,0.000866497,0.000916557,0.000832464,-0.000545989,-0.000956885,-9.817266,0,0,28.90945,1,1,1000,1000
4585,25:16.0,IMU,67164790,1,0.001045121,0.000755095,0.001073902,-0.001823051,-0.002374992,-9.817481,0,0,28.90945,1,1,760,800
4639,25:16.0,IMU,67204774,0,0.000870067,0.000999607,0.000880132,-0.000587055,-0.000520355,-9.816792,0,0,28.91159,1,1,1000,1000
4640,25:16.0,IMU,67204774,1,0.000972729,0.000871683,0.000882165,-0.001301657,-0.001633552,-9.81846,0,0,28.91159,1,1,760,800
4733,25:16.1,IMU,67244758,0,0.000881513,0.000979096,0.000913122,-0.000301357,-0.000948454,-9.817811,0,0,28.91374,1,1,1000,1000
4734,25:16.1,IMU,67244758,1,0.001117408,0.000981044,0.001107394,-0.00191577,0.001639638,-9.815521,0,0,28.91374,1,1,760,800
4785,25:16.1,IMU,67284742,0,0.00097706,0.000908139,0.000946707,-0.000423702,-0.00094091,-9.817225,0,0,28.91588,1,1,1000,1000
4786,25:16.1,IMU,67284742,1,0.001031509,0.001076427,0.000757876,-0.001668079,-0.000296444,-9.819487,0,0,28.91588,1,1,760,800
4838,25:16.1,IMU,67324726,0,0.000968133,0.000951981,0.00090591,-0.00057151,-0.000227361,-9.816891,0,0,28.91803,1,1,1000,1000
4839,25:16.1,IMU,67324726,1,0.001133643,0.00113881,0.000861151,-0.003293726,0.000118774,-9.816419,0,0,28.91803,1,1,760,800
4933,25:16.2,IMU,67364710,0,0.000973344,0.000989751,0.000904824,-0.000802691,-0.000780989,-9.817361,0,0,28.92017,1,1,1000,1000
4934,25:16.2,IMU,67364710,1,0.000932285,0.000968389,0.00088417,-0.000268247,-0.000424167,-9.818254,0,0,28.92017,1,1,760,800
4988,25:16.2,IMU,67404694,0,0.000975252,0.000963286,0.000970177,-0.001406818,2.698663E-05,-9.81708,0,0,28.92232,1,1,1000,1000
4989,25:16.2,IMU,67404694,1,0.001095345,0.000874114,0.000642463,0.000948619,-0.001981949,-9.815954,0,0,28.92232,1,1,760,800
5084,25:16.3,IMU,67444678,0,0.00089938,0.000923718,0.000913586,-0.000907683,-9.47E-05,-9.816639,0,0,28.92446,1,1,1000,1000
5085,25:16.3,IMU,67444678,1,0.000738995,0.000831928,0.001033945,0.001041006,-0.001033539,-9.818931,0,0,28.92446,1,1,760,800
5138,25:16.3,IMU,67484662,0,0.000909813,0.000873182,0.000900255,3.199348E-05,-0.000638509,-9.817449,0,0,28.9266,1,1,1000,1000
5139,25:16.3,IMU,67484662,1,0.000808679,0.001253003,0.00103496,-0.001600364,-0.000487315,-9.819131,0,0,28.9266,1,1,760,800
5191,25:16.3,IMU,67524646,0,0.000943727,0.001005754,0.000919167,-0.000870132,-0.00131929,-9.818079,0,0,28.92875,1,1,1000,1000
5192,25:16.3,IMU,67524646,1,0.000768448,0.001173863,0.000854243,0.000175388,-0.002208529,-9.818184,0,0,28.92875,1,1,760,800
5288,25:16.4,IMU,67564630,0,0.000924006,0.000908317,0.000977035,-0.000488664,0.000472249,-9.816676,0,0,28.93089,1,1,1000,1000
5289,25:16.4,IMU,67564630,1,0.000966441,0.001028678,0.001141086,-0.003278174,-0.000146918,-9.817943,0,0,28.93089,1,1,760,800
5345,25:16.4,IMU,67604614,0,0.000972841,0.000923908,0.000867921,-0.000747104,-8.03E-05,-9.817454,0,0,28.93303,1,1,1000,1000
5346,25:16.4,IMU,67604614,1,0.001058535,0.000830747,0.000947301,0.000406259,0.000208943,-9.817816,0,0,28.93303,1,1,760,800
5440,25:16.5,IMU,67644598,0,0.000912861,0.000960401,0.001024723,-0.000481132,-0.001599703,-9.817478,0,0,28.93517,1,1,1000,1000
5441,25:16.5,IMU,67644598,1,0.000927347,0.001045298,0.000733011,-0.001255749,-0.000177693,-9.819478,0,0,28.93517,1,1,760,800
5492,25:16.5,IMU,67684582,0,0.000953698,0.000908405,0.000964934,-0.001064751,-0.00078881,-9.817801,0,0,28.93731,1,1,1000,1000
5493,25:16.5,IMU,67684582,1,0.001097526,0.000755704,0.001039271,-0.002804646,0.000768961,-9.816849,0,0,28.93731,1,1,760,800
5544,25:16.5,IMU,67725399,0,0.000890024,0.00094035,0.000959675,-0.000928317,-0.000920936,-9.816586,0,0,28.93951,1,1,1000,1000
5545,25:16.5,IMU,67725399,1,0.001051106,0.000718461,0.001178358,-0.000742264,-0.002485354,-9.816031,0,0,28.93946,1,1,760,800
5640,25:16.6,IMU,67765383,0,0.000974247,0.000980121,0.000970717,-0.00047936,-0.001667006,-9.81832,0,0,28.94165,1,1,1000,1000
5641,25:16.6,IMU,67765383,1,0.000966145,0.001103474,0.000716618,-0.000407482,-0.001629484,-9.818054,0,0,28.9416,1,1,760,800
5695,25:16.6,IMU,67805367,0,0.000957515,0.000982849,0.000960056,-0.000623868,-0.001355318,-9.817069,0,0,28.94379,1,1,1000,1000
5696,25:16.6,IMU,67805367,1,0.00125793,0.000968623,0.000880651,-0.002968615,-0.000199331,-9.816305,0,0,28.94374,1,1,760,800
5789,25:16.7,IMU,67845351,0,0.001051162,0.000907873,0.000924051,-0.000943042,-0.000704094,-9.818467,0,0,28.94593,1,1,1000,1000
5790,25:16.7,IMU,67845351,1,0.001219905,0.001000311,0.001021353,0.000667024,-0.002491286,-9.815836,0,0,28.94588,1,1,760,800
5842,25:16.7,IMU,67885335,0,0.00086767,0.000985901,0.000952646,-0.001802995,-0.002730226,-9.81766,0,0,28.94807,1,1,1000,1000
5843,25:16.7,IMU,67885335,1,0.001054451,0.00104106,0.001097177,-0.001700056,-0.001838118,-9.816242,0,0,28.94802,1,1,760,800
5895,25:16.7,IMU,67925319,0,0.000995729,0.000959184,0.001013839,-0.000544086,-0.000785247,-9.817001,0,0,28.95021,1,1,1000,1000
5896,25:16.7,IMU,67925319,1,0.001144762,0.00087486,0.000992753,-0.002588369,-0.002202666,-9.816072,0,0,28.95016,1,1,760,800
5989,25:16.8,IMU,67965303,0,0.000890836,0.000970093,0.00092301,-0.000419596,-0.000910974,-9.818528,0,0,28.95235,1,1,1000,1000
5990,25:16.8,IMU,67965303,1,0.000922141,0.000805386,0.000828603,0.000460078,-0.001351567,-9.819802,0,0,28.9523,1,1,760,800
6045,25:16.8,IMU,68005287,0,0.000946679,0.000985441,0.000968527,-0.002045364,-0.001041088,-9.817471,0,0,28.95449,1,1,1000,1000
6046,25:16.8,IMU,68005287,1,0.000852822,0.0010348,0.000992299,-0.000678769,-0.000288993,-9.81887,0,0,28.95444,1,1,760,800
6141,25:16.9,IMU,68045271,0,0.000965039,0.00094224,0.000900574,-0.001800347,0.000458558,-9.818615,0,0,28.95663,1,1,1000,1000
6142,25:16.9,IMU,68045271,1,0.000856992,0.000819594,0.000804642,-0.001275444,0.001224733,-9.81731,0,0,28.95658,1,1,760,800
6193,25:16.9,IMU,68085255,0,0.000930046,0.000884075,0.001099775,-0.001583359,-0.000837114,-9.817118,0,0,28.95877,1,1,1000,1000
6194,25:16.9,IMU,68085255,1,0.001287114,0.00096764,0.0007531,-7.88E-05,0.000409238,-9.816815,0,0,28.95872,1,1,760,800
6247,25:16.9,IMU,68125239,0,0.000973828,0.000961582,0.000977116,-0.001587666,-0.002005884,-9.817122,0,0,28.96091,1,1,1000,1000
6248,25:16.9,IMU,68125239,1,0.000941051,0.000638996,0.001074105,-0.000570734,-0.000515616,-9.817339,0,0,28.96086,1,1,760,800
