Timestamp,SrcPort,DstPort,Length,MsgID,Protocol,Label
1768227861940780,52931,14550,48.0,163,0,0
1768227861945075,52931,14550,32.0,178,0,0
1768227861947112,52931,14550,48.0,30,0,0
1768227861949908,52931,14550,48.0,33,0,0
1768227861951676,52931,14550,38.0,74,0,0
1768227861955321,52931,14550,51.0,1,0,0
1768227861958385,52931,14550,22.0,125,0,0
1768227861960895,52931,14550,27.0,152,0,0
1768227861962995,52931,14550,42.0,62,0,0
1768227861966184,52931,14550,25.0,42,0,0
1768227861968685,52931,14550,32.0,36,0,0
1768227861971106,52931,14550,62.0,65,0,0
1768227861973529,52931,14550,49.0,27,0,0
1768227861975066,52931,14550,44.0,116,0,0
1768227861976821,52931,14550,42.0,129,0,0
1768227861978485,52931,14550,34.0,29,0,0
1768227861979978,52931,14550,34.0,137,0,0
1768227861982724,52931,14550,53.0,24,0,0
1768227861990919,52931,14550,53.0,124,0,0
1768227861994763,5760,58419,,111,1,0
1768227861994848,52931,14550,30.0,2,0,0
1768227861996889,52931,14550,64.0,164,0,0
1768227861999284,52931,14550,41.0,136,0,0
1768227862001213,52931,14550,41.0,193,0,0
1768227862003117,52931,14550,40.0,241,0,0
1768227862005611,52931,14550,61.0,147,0,0
1768227862007373,52931,14550,64.0,11030,0,0
1768227862010460,52931,14550,33.0,111,0,0
1768227862014360,5760,58419,,0,1,0
1768227862016164,52931,14550,29.0,0,0,0
1768227862109900,5760,58419,,264,1,0
1768227862111195,52931,14550,46.0,264,0,0
1768227862192664,52931,14550,48.0,163,0,0
1768227862195729,52931,14550,44.0,178,0,0
1768227862200056,52931,14550,48.0,30,0,0
1768227862202741,52931,14550,48.0,33,0,0
1768227862207422,52931,14550,38.0,74,0,0
1768227862211581,52931,14550,51.0,1,0,0
1768227862214661,52931,14550,22.0,125,0,0
1768227862218049,52931,14550,27.0,152,0,0
1768227862219679,52931,14550,42.0,62,0,0
1768227862223122,52931,14550,25.0,42,0,0
1768227862225255,52931,14550,32.0,36,0,0
1768227862226783,52931,14550,62.0,65,0,0
1768227862228587,52931,14550,49.0,27,0,0
1768227862230556,52931,14550,44.0,116,0,0
1768227862232935,52931,14550,42.0,129,0,0
1768227862235212,52931,14550,34.0,29,0,0
1768227862237337,52931,14550,34.0,137,0,0
1768227862239342,52931,14550,60.0,24,0,0
1768227862241859,52931,14550,53.0,124,0,0
1768227862244268,52931,14550,30.0,2,0,0
1768227862246963,52931,14550,64.0,164,0,0
1768227862249248,52931,14550,41.0,136,0,0
1768227862250798,52931,14550,41.0,193,0,0
1768227862252640,52931,14550,40.0,241,0,0
1768227862254213,52931,14550,61.0,147,0,0
1768227862255708,52931,14550,64.0,11030,0,0
1768227862443554,52931,14550,48.0,163,0,0
1768227862445086,52931,14550,44.0,178,0,0
1768227862447806,52931,14550,48.0,30,0,0
1768227862449353,52931,14550,48.0,33,0,0
1768227862450549,52931,14550,38.0,74,0,0
1768227862453592,52931,14550,51.0,1,0,0
1768227862456831,52931,14550,22.0,125,0,0
1768227862459552,52931,14550,27.0,152,0,0
1768227862460450,52931,14550,42.0,62,0,0
1768227862464033,52931,14550,25.0,42,0,0
1768227862467650,52931,14550,32.0,36,0,0
1768227862468517,52931,14550,62.0,65,0,0
1768227862470688,52931,14550,49.0,27,0,0
1768227862471717,52931,14550,44.0,116,0,0
1768227862472534,52931,14550,42.0,129,0,0
1768227862473682,52931,14550,34.0,29,0,0
1768227862474703,52931,14550,34.0,137,0,0
1768227862475625,52931,14550,60.0,24,0,0
1768227862477895,52931,14550,53.0,124,0,0
1768227862478977,52931,14550,30.0,2,0,0
1768227862479863,52931,14550,64.0,164,0,0
1768227862480714,52931,14550,41.0,136,0,0
1768227862481561,52931,14550,41.0,193,0,0
1768227862482644,52931,14550,40.0,241,0,0
1768227862483761,52931,14550,61.0,147,0,0
1768227862484648,52931,14550,64.0,11030,0,0
