Timestamp,SrcPort,DstPort,Length,MsgID,Protocol,Label
1768228014521067,5760,58419,,264,1,0
1768228014522425,52931,14550,47.0,264,0,0
1768228014607264,52931,14550,48.0,163,0,0
1768228014609732,52931,14550,44.0,178,0,0
1768228014611331,52931,14550,48.0,30,0,0
1768228014617173,52931,14550,48.0,33,0,0
1768228014619889,52931,14550,39.0,74,0,0
1768228014626351,52931,14550,51.0,1,0,0
1768228014631225,52931,14550,22.0,125,0,0
1768228014634317,52931,14550,27.0,152,0,0
1768228014636482,52931,14550,45.0,62,0,0
1768228014639599,52931,14550,26.0,42,0,0
1768228014643891,52931,14550,32.0,36,0,0
1768228014646755,52931,14550,62.0,65,0,0
1768228014648499,52931,14550,49.0,27,0,0
1768228014650581,52931,14550,44.0,116,0,0
1768228014652705,52931,14550,42.0,129,0,0
1768228014654565,52931,14550,34.0,29,0,0
1768228014657485,52931,14550,34.0,137,0,0
1768228014659655,52931,14550,60.0,24,0,0
1768228014662279,52931,14550,53.0,124,0,0
1768228014665469,52931,14550,31.0,2,0,0
1768228014667019,52931,14550,64.0,164,0,0
1768228014668365,52931,14550,24.0,168,0,0
1768228014670671,52931,14550,42.0,136,0,0
1768228014672964,52931,14550,42.0,193,0,0
1768228014675950,52931,14550,48.0,32,0,0
1768228014678462,52931,14550,40.0,241,0,0
1768228014680752,52931,14550,70.0,87,0,0
1768228014683522,52931,14550,61.0,147,0,0
1768228014686248,52931,14550,64.0,11030,0,0
1768228014687887,58419,5760,,0,1,0
1768228014860570,52931,14550,48.0,163,0,0
1768228014864357,52931,14550,44.0,178,0,0
1768228014866503,52931,14550,48.0,30,0,0
1768228014869596,52931,14550,48.0,33,0,0
1768228014879842,52931,14550,39.0,74,0,0
1768228014886647,52931,14550,51.0,1,0,0
1768228014896371,52931,14550,22.0,125,0,0
1768228014901474,52931,14550,27.0,152,0,0
1768228014904139,52931,14550,45.0,62,0,0
1768228014910874,52931,14550,26.0,42,0,0
1768228014915814,52931,14550,32.0,36,0,0
1768228014918363,52931,14550,62.0,65,0,0
1768228014921031,52931,14550,49.0,27,0,0
1768228014922882,52931,14550,44.0,116,0,0
1768228014925928,52931,14550,42.0,129,0,0
1768228014927946,52931,14550,34.0,29,0,0
1768228014929971,52931,14550,34.0,137,0,0
1768228014932172,52931,14550,60.0,24,0,0
1768228014934674,5760,58419,,0,1,0
1768228014934726,52931,14550,53.0,124,0,0
1768228014937303,52931,14550,31.0,2,0,0
1768228014939517,52931,14550,64.0,164,0,0
1768228014941338,52931,14550,24.0,168,0,0
1768228014943254,52931,14550,42.0,136,0,0
1768228014945360,52931,14550,42.0,193,0,0
1768228014947307,52931,14550,48.0,32,0,0
1768228014948880,52931,14550,40.0,241,0,0
1768228014950493,52931,14550,70.0,87,0,0
1768228014952837,52931,14550,61.0,147,0,0
1768228014955260,52931,14550,64.0,11030,0,0
1768228014959595,52931,14550,29.0,0,0,0
1768228015028299,5760,58419,,264,1,0
1768228015029532,52931,14550,47.0,264,0,0
1768228015112726,52931,14550,48.0,163,0,0
1768228015115414,52931,14550,44.0,178,0,0
1768228015117306,52931,14550,48.0,30,0,0
1768228015122323,52931,14550,48.0,33,0,0
1768228015124310,52931,14550,39.0,74,0,0
1768228015127601,52931,14550,51.0,1,0,0
1768228015132312,52931,14550,22.0,125,0,0
1768228015135002,52931,14550,27.0,152,0,0
1768228015136945,52931,14550,45.0,62,0,0
1768228015140156,52931,14550,26.0,42,0,0
1768228015144430,52931,14550,32.0,36,0,0
1768228015146120,52931,14550,62.0,65,0,0
1768228015147734,52931,14550,49.0,27,0,0
1768228015149319,52931,14550,44.0,116,0,0
1768228015150958,52931,14550,42.0,129,0,0
1768228015152900,52931,14550,34.0,29,0,0
1768228015155738,52931,14550,34.0,137,0,0
1768228015157898,52931,14550,60.0,24,0,0
1768228015160457,52931,14550,53.0,124,0,0
1768228015162837,52931,14550,31.0,2,0,0
1768228015164723,52931,14550,64.0,164,0,0
1768228015167131,52931,14550,24.0,168,0,0
1768228015169129,52931,14550,42.0,136,0,0
1768228015171269,52931,14550,42.0,193,0,0
1768228015173593,52931,14550,48.0,32,0,0
1768228015175669,52931,14550,40.0,241,0,0
1768228015177832,52931,14550,70.0,87,0,0
1768228015180772,52931,14550,61.0,147,0,0
1768228015183655,52931,14550,64.0,11030,0,0
1768228015361578,52931,14550,48.0,163,0,0
1768228015365012,52931,14550,44.0,178,0,0
1768228015367458,52931,14550,48.0,30,0,0
1768228015369678,52931,14550,48.0,33,0,0
1768228015372110,52931,14550,39.0,74,0,0
1768228015375428,52931,14550,51.0,1,0,0
1768228015382177,52931,14550,22.0,125,0,0
1768228015386528,52931,14550,27.0,152,0,0
1768228015388475,52931,14550,45.0,62,0,0
1768228015392436,52931,14550,26.0,42,0,0
1768228015396597,52931,14550,32.0,36,0,0
1768228015398478,52931,14550,62.0,65,0,0
1768228015404063,52931,14550,49.0,27,0,0
1768228015409850,52931,14550,44.0,116,0,0
1768228015412907,52931,14550,42.0,129,0,0
1768228015416473,52931,14550,34.0,29,0,0
1768228015419173,52931,14550,34.0,137,0,0
1768228015423545,52931,14550,60.0,24,0,0
1768228015426268,52931,14550,53.0,124,0,0
1768228015431966,52931,14550,31.0,2,0,0
1768228015435493,52931,14550,64.0,164,0,0
1768228015440198,52931,14550,24.0,168,0,0
1768228015443282,52931,14550,42.0,136,0,0
1768228015447799,52931,14550,42.0,193,0,0
1768228015452140,52931,14550,48.0,32,0,0
1768228015454667,52931,14550,40.0,241,0,0
1768228015456098,52931,14550,70.0,87,0,0
1768228015458742,52931,14550,61.0,147,0,0
1768228015461043,52931,14550,64.0,11030,0,0
