Timestamp,SrcPort,DstPort,Length,MsgID,Protocol,Label
1768228179275998,52931,14550,48.0,33,0,0
1768228179277747,52931,14550,39.0,74,0,0
1768228179284439,52931,14550,51.0,1,0,0
1768228179289825,52931,14550,22.0,125,0,0
1768228179292000,52931,14550,27.0,152,0,0
1768228179293284,52931,14550,45.0,62,0,0
1768228179296470,52931,14550,26.0,42,0,0
1768228179299140,52931,14550,32.0,36,0,0
1768228179300797,52931,14550,62.0,65,0,0
1768228179305069,52931,14550,49.0,27,0,0
1768228179306937,52931,14550,44.0,116,0,0
1768228179309327,52931,14550,42.0,129,0,0
1768228179311082,52931,14550,34.0,29,0,0
1768228179313238,52931,14550,34.0,137,0,0
1768228179315109,52931,14550,60.0,24,0,0
1768228179319664,52931,14550,53.0,124,0,0
1768228179321979,52931,14550,31.0,2,0,0
1768228179324434,52931,14550,64.0,164,0,0
1768228179326291,52931,14550,24.0,168,0,0
1768228179328384,52931,14550,42.0,136,0,0
1768228179330426,52931,14550,42.0,193,0,0
1768228179333207,52931,14550,48.0,32,0,0
1768228179335446,52931,14550,40.0,241,0,0
1768228179337810,52931,14550,70.0,87,0,0
1768228179340826,52931,14550,61.0,147,0,0
1768228179342686,52931,14550,64.0,11030,0,0
1768228179436417,5760,58419,,264,1,0
1768228179437435,52931,14550,47.0,264,0,0
1768228179519722,52931,14550,48.0,163,0,0
1768228179521393,52931,14550,44.0,178,0,0
1768228179523599,52931,14550,48.0,30,0,0
1768228179525828,52931,14550,48.0,33,0,0
1768228179528430,52931,14550,39.0,74,0,0
1768228179534756,52931,14550,51.0,1,0,0
1768228179537030,52931,14550,22.0,125,0,0
1768228179538988,52931,14550,27.0,152,0,0
1768228179540323,52931,14550,45.0,62,0,0
1768228179543096,52931,14550,26.0,42,0,0
1768228179545388,52931,14550,32.0,36,0,0
1768228179546777,52931,14550,62.0,65,0,0
1768228179548418,52931,14550,49.0,27,0,0
1768228179549756,52931,14550,44.0,116,0,0
1768228179551266,52931,14550,42.0,129,0,0
1768228179552622,52931,14550,34.0,29,0,0
1768228179554921,52931,14550,34.0,137,0,0
1768228179556817,52931,14550,60.0,24,0,0
1768228179559849,52931,14550,53.0,124,0,0
1768228179562191,52931,14550,31.0,2,0,0
1768228179563439,52931,14550,64.0,164,0,0
1768228179565063,52931,14550,24.0,168,0,0
1768228179567630,52931,14550,42.0,136,0,0
1768228179569180,52931,14550,42.0,193,0,0
1768228179570972,52931,14550,48.0,32,0,0
1768228179572353,52931,14550,40.0,241,0,0
