Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
422948,59:15.3,IMU,279524812,0,0.008011645,-0.04428416,0.006582261,-3.587,-0.2490334,-9.307849,0,0,37.07228,1,1,999,999
423049,59:15.4,IMU,279564796,0,0.007442311,-0.03050763,0.006518395,-3.620937,-0.2490317,-9.287524,0,0,37.07334,1,1,999,999
423103,59:15.4,IMU,279604780,0,0.007042906,-0.02403525,0.006363837,-3.653634,-0.2481183,-9.260756,0,0,37.07439,1,1,999,999
423202,59:15.4,IMU,279644764,0,0.006635953,-0.0142127,0.005953668,-3.686884,-0.2484214,-9.237564,0,0,37.07545,1,1,999,999
423253,59:15.5,IMU,279684748,0,0.007150293,-0.008350965,0.005586781,-3.721905,-0.2459848,-9.225622,0,0,37.07651,1,1,999,999
423305,59:15.5,IMU,279724732,0,0.007823912,-0.003712992,0.00494004,-3.75595,-0.2463312,-9.20178,0,0,37.07756,1,1,999,999
423407,59:15.6,IMU,279764716,0,0.007329896,-0.000724099,0.004436494,-3.787774,-0.2469406,-9.181388,0,0,37.07862,1,1,999,999
423462,59:15.6,IMU,279804700,0,0.006962826,0.001378329,0.004029731,-3.820529,-0.2454623,-9.157357,0,0,37.07967,1,1,999,999
423560,59:15.6,IMU,279844684,0,0.006665025,0.00213425,0.003688978,-3.851901,-0.2453496,-9.137453,0,0,37.08073,1,1,999,999
423611,59:15.7,IMU,279884668,0,0.006303499,0.001205606,0.003502106,-3.882747,-0.2460579,-9.114912,0,0,37.08179,1,1,999,999
423664,59:15.7,IMU,279924652,0,0.006010112,0.002438297,0.003576349,-3.912966,-0.2462638,-9.096841,0,0,37.08284,1,1,999,999
423764,59:15.8,IMU,279964636,0,0.007385234,0.002566926,0.003444322,-3.943578,-0.2455705,-9.077381,0,0,37.0839,1,1,999,999
423818,59:15.8,IMU,280004620,0,0.008295667,0.002747359,0.003391273,-3.972761,-0.2437668,-9.055117,0,0,37.08495,1,1,999,999
423918,59:15.8,IMU,280044604,0,0.006964365,0.004226293,0.003149374,-3.999345,-0.2444158,-9.029059,0,0,37.08601,1,1,999,999
423969,59:15.9,IMU,280084588,0,0.006307997,0.005631214,0.003107919,-4.027523,-0.2446091,-9.015377,0,0,37.08706,1,1,1000,1000
424023,59:15.9,IMU,280125405,0,0.00633929,0.005766989,0.003094151,-4.053648,-0.2443734,-8.993279,0,0,37.08815,1,1,1000,1000
424122,59:16.0,IMU,280165389,0,0.005767726,0.006932186,0.0029936,-4.081004,-0.2441642,-8.97794,0,0,37.0892,1,1,1000,1000
424176,59:16.0,IMU,280205373,0,0.005055609,0.005503979,0.002932979,-4.106568,-0.2437446,-8.95869,0,0,37.09026,1,1,1000,1000
424274,59:16.0,IMU,280245357,0,0.004938624,0.00592921,0.002994898,-4.130332,-0.2439436,-8.943045,0,0,37.09131,1,1,1000,1000
