Unnamed: 0,Timestamp,Unnamed: 2,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
200981,57:11.7,IMU,155885121,0,0.01926747,0.01576951,0.3520469,-3.430654,2.017425,-9.190495,0,0,33.02886,1,1,1000,1000
201033,57:11.7,IMU,155925105,0,0.01378187,0.02533873,0.3445423,-3.400582,2.033533,-9.191182,0,0,33.03045,1,1,1000,1000
201132,57:11.8,IMU,155965089,0,0.007999128,0.03225351,0.3360993,-3.372071,2.048839,-9.192698,0,0,33.03205,1,1,1000,1000
201186,57:11.8,IMU,156005073,0,0.003605306,0.03727699,0.3270334,-3.34824,2.062395,-9.196568,0,0,33.03365,1,1,1000,1000
201287,57:11.8,IMU,156045057,0,0.002567581,0.04290335,0.3173137,-3.325064,2.07603,-9.203808,0,0,33.03528,1,1,1000,1000
201339,57:11.9,IMU,156085041,0,0.002621626,0.05215001,0.3073434,-3.302475,2.087622,-9.205113,0,0,33.03688,1,1,1000,1000
201391,57:11.9,IMU,156125025,0,0.002560538,0.04811333,0.2967671,-3.283103,2.097329,-9.197429,0,0,33.03847,1,1,1000,1000
201490,57:12.0,IMU,156165009,0,-0.00125008,0.04902546,0.2866585,-3.263759,2.106951,-9.190716,0,0,33.04007,1,1,1000,1000
201544,57:12.0,IMU,156204993,0,-0.001698285,0.04541767,0.2760064,-3.245321,2.116012,-9.197011,0,0,33.04162,1,1,1000,1000
201642,57:12.0,IMU,156244977,0,-0.002605844,0.0407193,0.2657996,-3.226987,2.121631,-9.185895,0,0,33.04321,1,1,1000,1000
201693,57:12.1,IMU,156284961,0,-0.000628343,0.0420373,0.2560048,-3.212474,2.128441,-9.183989,0,0,33.04481,1,1,1000,1000
201745,57:12.1,IMU,156324945,0,-0.003890022,0.03867973,0.2466586,-3.196839,2.133922,-9.184993,0,0,33.0464,1,1,1000,1000
201845,57:12.2,IMU,156364929,0,-0.000625725,0.03891315,0.2371483,-3.183416,2.140671,-9.186909,0,0,33.048,1,1,1000,1000
201899,57:12.2,IMU,156404913,0,-0.006141063,0.03476722,0.2281916,-3.171133,2.142413,-9.185931,0,0,33.04959,1,1,1000,1000
201999,57:12.2,IMU,156444897,0,-0.008577614,0.03128249,0.219592,-3.157145,2.145154,-9.17293,0,0,33.05119,1,1,1000,1000
202053,57:12.3,IMU,156484881,0,-0.009105369,0.02805736,0.2112695,-3.14604,2.147915,-9.169722,0,0,33.05278,1,1,1000,1000
202105,57:12.3,IMU,156524865,0,-0.007795101,0.02775299,0.2035639,-3.137516,2.148518,-9.174387,0,0,33.05437,1,1,1000,1000
202207,57:12.4,IMU,156564849,0,-0.01193214,0.0271355,0.1962338,-3.125778,2.150023,-9.174542,0,0,33.05596,1,1,1000,1000
202261,57:12.4,IMU,156604833,0,-0.01493998,0.02498067,0.1890623,-3.117125,2.150922,-9.170673,0,0,33.05756,1,1,1000,1000
202360,57:12.4,IMU,156644817,0,-0.01850402,0.02027663,0.1819626,-3.109037,2.150792,-9.163601,0,0,33.05915,1,1,1000,1000
202412,57:12.5,IMU,156684801,0,-0.01605029,0.01842826,0.1750396,-3.099874,2.151111,-9.161635,0,0,33.06074,1,1,1000,1000
202465,57:12.5,IMU,156724785,0,-0.01859497,0.01869621,0.1687443,-3.094093,2.14954,-9.163597,0,0,33.06233,1,1,1000,1000
202564,57:12.6,IMU,156764769,0,-0.02440234,0.01764482,0.1626447,-3.087728,2.14759,-9.163184,0,0,33.06392,1,1,1000,1000
202618,57:12.6,IMU,156804753,0,-0.02725477,0.01596165,0.1564925,-3.081076,2.145376,-9.156761,0,0,33.06551,1,1,1000,1000
202717,57:12.6,IMU,156844737,0,-0.02486999,0.01450174,0.1501778,-3.075966,2.142804,-9.148624,0,0,33.0671,1,1,1000,1000
202769,57:12.7,IMU,156884721,0,-0.02243704,0.00924815,0.1440479,-3.072032,2.141527,-9.150844,0,0,33.0687,1,1,1000,1000
202821,57:12.7,IMU,156924705,0,-0.02568405,0.009844025,0.1383468,-3.067879,2.140236,-9.153996,0,0,33.07029,1,1,1000,1000
202920,57:12.8,IMU,156964689,0,-0.03008547,0.008973157,0.1326667,-3.064374,2.136578,-9.143843,0,0,33.07188,1,1,1000,1000
202974,57:12.8,IMU,157004673,0,-0.03498129,0.007630073,0.1272491,-3.059989,2.132448,-9.134697,0,0,33.07347,1,1,1000,1000
203076,57:12.8,IMU,157044657,0,-0.03710463,0.007653042,0.1216576,-3.05914,2.128771,-9.14351,0,0,33.07506,1,1,999,999
203128,57:12.9,IMU,157084641,0,-0.0329422,0.007130129,0.1158493,-3.056636,2.125817,-9.137979,0,0,33.07665,1,1,999,999
203180,57:12.9,IMU,157124625,0,-0.0337045,0.008796337,0.1107366,-3.057884,2.122628,-9.136114,0,0,33.07824,1,1,999,999
203280,57:13.0,IMU,157164609,0,-0.03705966,0.004964718,0.1052046,-3.056019,2.119874,-9.135071,0,0,33.07983,1,1,999,999
203334,57:13.0,IMU,157204593,0,-0.04143165,0.004802205,0.1001588,-3.055736,2.114758,-9.128683,0,0,33.08142,1,1,999,999
203432,57:13.0,IMU,157244577,0,-0.04359226,0.006226487,0.09517675,-3.05625,2.111065,-9.135626,0,0,33.083,1,1,999,999
203483,57:13.1,IMU,157285394,0,-0.04656861,0.01007892,0.0900577,-3.056562,2.10633,-9.120393,0,0,33.08463,1,1,999,999
203535,57:13.1,IMU,157325378,0,-0.04877368,0.009496463,0.08512099,-3.058338,2.102551,-9.11777,0,0,33.08622,1,1,999,999
203635,57:13.2,IMU,157365362,0,-0.04999067,0.006954288,0.07982356,-3.062057,2.098044,-9.128462,0,0,33.08781,1,1,999,999
203730,57:13.2,IMU,157405346,0,-0.04926028,0.006569112,0.07476725,-3.064622,2.092004,-9.120435,0,0,33.0894,1,1,999,999
203830,57:13.2,IMU,157445330,0,-0.05098408,0.003803618,0.06991395,-3.067353,2.089018,-9.115488,0,0,33.09099,1,1,999,999
203884,57:13.3,IMU,157485314,0,-0.05248717,0.006748025,0.06509058,-3.070812,2.084115,-9.115936,0,0,33.09258,1,1,999,999
203936,57:13.3,IMU,157525298,0,-0.05373473,0.006130533,0.06032516,-3.072688,2.078929,-9.104402,0,0,33.09416,1,1,999,999
204038,57:13.4,IMU,157565282,0,-0.0553297,0.004502754,0.05548362,-3.079423,2.074156,-9.112662,0,0,33.09575,1,1,999,999
204092,57:13.4,IMU,157605266,0,-0.05688177,0.004633455,0.05074539,-3.084892,2.06821,-9.100722,0,0,33.09734,1,1,999,999
204191,57:13.4,IMU,157645250,0,-0.0583412,0.002375389,0.04607475,-3.088855,2.063713,-9.103135,0,0,33.09892,1,1,999,999
204243,57:13.5,IMU,157685234,0,-0.06012954,0.005247277,0.04145915,-3.094729,2.059005,-9.103561,0,0,33.10051,1,1,999,999
204296,57:13.5,IMU,157725218,0,-0.06193306,0.000157487,0.03682905,-3.100212,2.054004,-9.103372,0,0,33.10205,1,1,999,999
204395,57:13.6,IMU,157765202,0,-0.06258364,0.002411534,0.03235029,-3.106914,2.049191,-9.100159,0,0,33.10364,1,1,999,999
204449,57:13.6,IMU,157805186,0,-0.06246061,0.002925432,0.02783716,-3.112345,2.043225,-9.095448,0,0,33.10523,1,1,999,999
204548,57:13.6,IMU,157845170,0,-0.05729003,0.007548347,0.02353695,-3.12001,2.039216,-9.095339,0,0,33.10682,1,1,999,999
204600,57:13.7,IMU,157885154,0,-0.05109966,0.01605392,0.01943609,-3.128071,2.032892,-9.091771,0,0,33.1084,1,1,999,999
204652,57:13.7,IMU,157925138,0,-0.04212048,0.0262927,0.01534133,-3.138018,2.031132,-9.093796,0,0,33.10999,1,1,999,999
204751,57:13.8,IMU,157965122,0,-0.03366229,0.03548305,0.01196085,-3.147936,2.026986,-9.093016,0,0,33.11157,1,1,999,999
204805,57:13.8,IMU,158005106,0,-0.02445599,0.04386871,0.008984813,-3.157447,2.023538,-9.08937,0,0,33.11316,1,1,999,999
204905,57:13.8,IMU,158045090,0,-0.0166813,0.04978426,0.006384987,-3.167637,2.022042,-9.091874,0,0,33.11474,1,1,1000,1000
204958,57:13.9,IMU,158085074,0,-0.01023815,0.05491053,0.004462495,-3.179665,2.02002,-9.08785,0,0,33.11633,1,1,1000,1000
205010,57:13.9,IMU,158125058,0,-0.004339303,0.06470929,0.003184272,-3.189271,2.016977,-9.086319,0,0,33.11795,1,1,1000,1000
205109,57:14.0,IMU,158165042,0,0.000799829,0.06772844,0.002001354,-3.200661,2.016083,-9.080036,0,0,33.11953,1,1,1000,1000
205163,57:14.0,IMU,158205026,0,0.004161625,0.06864448,0.001615534,-3.208562,2.013308,-9.070564,0,0,33.12112,1,1,1000,1000
205261,57:14.0,IMU,158245010,0,0.004829047,0.0609142,0.001189455,-3.218289,2.013094,-9.076765,0,0,33.1227,1,1,1000,1000
205312,57:14.1,IMU,158284994,0,0.006053178,0.05522934,0.001021868,-3.223475,2.011449,-9.062953,0,0,33.12424,1,1,1000,1000
205364,57:14.1,IMU,158324978,0,0.005594332,0.04098716,0.001079584,-3.229537,2.010812,-9.067666,0,0,33.12583,1,1,1000,1000
205463,57:14.2,IMU,158364962,0,0.004247329,0.02593281,0.000735288,-3.231929,2.008923,-9.049191,0,0,33.12741,1,1,1000,1000
205519,57:14.2,IMU,158404946,0,0.004051462,0.01330903,0.0002714,-3.234591,2.007785,-9.053883,0,0,33.12899,1,1,1000,1000
205619,57:14.2,IMU,158444930,0,0.00391253,0.004852282,7.226898e-05,-3.234698,2.006195,-9.053066,0,0,33.13058,1,1,1000,1000
205673,57:14.3,IMU,158484914,0,0.003633685,-0.004790489,-0.000133713,-3.235361,2.005838,-9.048882,0,0,33.13216,1,1,1000,1000
205725,57:14.3,IMU,158524898,0,0.002030413,-0.00899331,-4.77e-05,-3.234627,2.003165,-9.034409,0,0,33.13374,1,1,1000,1000
205827,57:14.4,IMU,158564882,0,-0.001998464,-0.01339257,-0.000176336,-3.235168,2.003259,-9.046459,0,0,33.13532,1,1,1000,1000
205881,57:14.4,IMU,158604866,0,-0.009371709,-0.01724575,-0.000212986,-3.23355,2.002679,-9.047349,0,0,33.13691,1,1,1000,1000
205980,57:14.4,IMU,158644850,0,-0.01586444,-0.01722763,-0.000103544,-3.232234,1.998896,-9.041849,0,0,33.13849,1,1,1000,1000
206032,57:14.5,IMU,158684834,0,-0.02229492,-0.01510253,-0.000252068,-3.232194,1.997954,-9.042756,0,0,33.14007,1,1,1000,1000
206085,57:14.5,IMU,158724818,0,-0.02744529,-0.01287694,-0.000713131,-3.232146,1.994777,-9.036171,0,0,33.14165,1,1,1000,1000
206184,57:14.6,IMU,158764802,0,-0.03063857,-0.01328303,-0.001298717,-3.233491,1.991316,-9.035957,0,0,33.14323,1,1,1000,1000
