,Timestamp,,TimeUS,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz
3277,55:21.4,IMU,45605084,1,0.000596914,0.000821237,0.000508274,-0.002072694,0.00198359,-9.816116,0,0,27.71051,1,1,760,800
3370,55:21.4,IMU,45645068,0,0.000624128,0.000650982,0.000678353,-0.00145929,-0.000156484,-9.81745,0,0,27.71281,1,1,1000,1000
3371,55:21.4,IMU,45645068,1,0.000511624,0.000615423,0.000629485,-0.000878634,-0.004803187,-9.820326,0,0,27.71281,1,1,760,800
3420,55:21.5,IMU,45685052,0,0.000659177,0.000607687,0.000630069,-0.000418988,9.609425E-05,-9.81638,0,0,27.71518,1,1,1000,1000
3421,55:21.5,IMU,45685052,1,0.000449525,0.000507885,0.000827009,-0.003097324,0.001333833,-9.816557,0,0,27.71518,1,1,760,800
3472,55:21.5,IMU,45725036,0,0.000541603,0.000654241,0.000637341,-0.001004492,-0.001675082,-9.817556,0,0,27.71748,1,1,1000,1000
3473,55:21.5,IMU,45725036,1,0.000555836,0.000581259,0.000733109,-0.001400103,-0.000592335,-9.816826,0,0,27.71748,1,1,760,800
3568,55:21.6,IMU,45765020,0,0.00057856,0.000602398,0.000645098,-0.001254445,-0.000411155,-9.816963,0,0,27.71978,1,1,1000,1000
3569,55:21.6,IMU,45765020,1,0.000831371,0.000699966,0.000628671,-0.001658045,-0.002019339,-9.816482,0,0,27.71978,1,1,760,800
3622,55:21.6,IMU,45805004,0,0.000636634,0.000648498,0.000627958,-0.000806989,-0.000656522,-9.818295,0,0,27.72209,1,1,1000,1000
3623,55:21.6,IMU,45805004,1,0.000636504,0.000606264,0.000611823,-0.001455208,-0.00110837,-9.818068,0,0,27.72209,1,1,760,800
3715,55:21.6,IMU,45844988,0,0.000648548,0.000565253,0.000661145,-0.00164601,-0.001225666,-9.816921,0,0,27.72433,1,1,1000,1000
3716,55:21.6,IMU,45844988,1,0.000768549,0.000672531,0.000702552,0.00020998,0.00026177,-9.81651,0,0,27.72433,1,1,760,800
3769,55:21.7,IMU,45884972,0,0.000666497,0.000633898,0.000639023,-0.000656435,-0.000696485,-9.81822,0,0,27.72664,1,1,1000,1000
3770,55:21.7,IMU,45884972,1,0.000571869,0.000680427,0.000687867,-0.000332756,-0.00116281,-9.817533,0,0,27.72664,1,1,760,800
3821,55:21.7,IMU,45924956,0,0.000680481,0.000604492,0.00062224,-0.000415547,-0.00093626,-9.816507,0,0,27.72894,1,1,1000,1000
3822,55:21.7,IMU,45924956,1,0.000653837,0.000652798,0.000790302,-0.003605457,-0.000671173,-9.818419,0,0,27.72894,1,1,760,800
3916,55:21.8,IMU,45964940,0,0.00066159,0.000644162,0.000614788,0.000682716,-0.001902733,-9.817341,0,0,27.73124,1,1,1000,1000
3917,55:21.8,IMU,45964940,1,0.000663598,0.000601334,0.00059014,-0.001035659,-0.003704084,-9.816683,0,0,27.73124,1,1,760,800
3971,55:21.8,IMU,46004924,0,0.000600622,0.000598741,0.000570031,-0.002197597,-0.000418786,-9.817375,0,0,27.73355,1,1,1000,1000
3972,55:21.8,IMU,46004924,1,0.000663784,0.000744087,0.000908026,-0.000839158,0.000234698,-9.815588,0,0,27.73355,1,1,760,800
4067,55:21.8,IMU,46044908,0,0.000687524,0.000714314,0.000637927,-0.000974605,-0.001785211,-9.817762,0,0,27.73585,1,1,1000,1000
4068,55:21.8,IMU,46044908,1,0.000491792,0.000481282,0.000511824,1.970137E-05,-0.001408038,-9.817148,0,0,27.73585,1,1,760,800
4118,55:21.9,IMU,46084892,0,0.000656668,0.000647354,0.00061113,-0.000354266,-0.000830917,-9.816699,0,0,27.73815,1,1,1000,1000
4119,55:21.9,IMU,46084892,1,0.000634048,0.000275886,0.000546827,-0.000279499,-0.001382755,-9.813179,0,0,27.73815,1,1,760,800
4171,55:21.9,IMU,46124876,0,0.000644092,0.000705364,0.000682061,8.883978E-05,-0.000501921,-9.818022,0,0,27.74045,1,1,1000,1000
4172,55:21.9,IMU,46124876,1,0.000876321,0.000465939,0.000575028,-0.000242095,9.063586E-05,-9.818562,0,0,27.74045,1,1,760,800
4266,55:22.0,IMU,46164860,0,0.000666957,0.000679256,0.000660915,-0.001890423,-0.001333376,-9.816478,0,0,27.74275,1,1,1000,1000
4267,55:22.0,IMU,46164860,1,0.000837234,0.000657852,0.000703112,-0.00185953,-0.001718392,-9.817143,0,0,27.74275,1,1,760,800
4320,55:22.0,IMU,46204844,0,0.000683348,0.000691545,0.000625897,-0.002230802,-0.001213267,-9.818121,0,0,27.74505,1,1,1000,1000
4321,55:22.0,IMU,46204844,1,0.000636645,0.000533555,0.00062851,-0.000805202,-0.001752287,-9.819959,0,0,27.74505,1,1,760,800
