,Timestamp,,TimeUS,GPS_ID,Status,GMS,GWk,Nstats,HDop,Lat,Lng,Alt,Spd,GCrs,VZ,Yaw,U
18625,55:30.0,GPS,54184984,0,6,168948000,2401,10,1.21,-35.363262,149.1652374,584.67,0.067,341.1151,-1.196,0,1
18984,55:30.2,GPS,54384904,0,6,168948200,2401,10,1.21,-35.3632618,149.1652373,584.91,0.086,338.5193,-1.225,0,1
19350,55:30.4,GPS,54584824,0,6,168948400,2401,10,1.21,-35.3632616,149.1652372,585.17,0.09200001,337.7225,-1.392,0,1
19557,55:30.5,GPS,54704776,1,1,0,0,0,-0.01,0,0,0,0,0,0,0,0
19710,55:30.6,GPS,54784744,0,6,168948600,2401,10,1.21,-35.3632615,149.1652372,585.47,0.09,338.4698,-1.59,0,1
20070,55:30.8,GPS,54984664,0,6,168948800,2401,10,1.21,-35.3632614,149.1652371,585.81,0.08000001,340.3484,-1.791,0,1
20430,55:31.0,GPS,55184584,0,6,168949000,2401,10,1.21,-35.3632613,149.165237,586.19,0.067,343.3982,-1.998,0,1
20789,55:31.2,GPS,55385337,0,6,168949200,2401,10,1.21,-35.3632611,149.165237,586.61,0.054,347.7567,-2.207,0,1
21161,55:31.4,GPS,55585257,0,6,168949400,2401,10,1.21,-35.363261,149.165237,587.07,0.044,353.0497,-2.382,0,1
21518,55:31.6,GPS,55785177,0,6,168949600,2401,10,1.21,-35.363261,149.165237,587.55,0.036,357.959,-2.484,0,1
21878,55:31.8,GPS,55985097,0,6,168949800,2401,10,1.21,-35.3632609,149.165237,588.05,0.031,2.35362,-2.512,0,1
22239,55:32.0,GPS,56185017,0,6,168950000,2401,10,1.21,-35.3632609,149.165237,588.55,0.028,7.72113,-2.47,0,1
22598,55:32.2,GPS,56384937,0,6,168950200,2401,10,1.21,-35.3632609,149.165237,589.04,0.025,15.65444,-2.375,0,1
22964,55:32.4,GPS,56584857,0,6,168950400,2401,10,1.21,-35.3632608,149.165237,589.5,0.024,27.3841,-2.254,0,1
23322,55:32.6,GPS,56784777,0,6,168950600,2401,10,1.21,-35.3632608,149.165237,589.94,0.024,42.73886,-2.124,0,1
23681,55:32.8,GPS,56984697,0,6,168950800,2401,10,1.21,-35.3632608,149.165237,590.35,0.025,59.31284,-1.996,0,1
